"The cache storage may contain additional data. Are you sure that you want to flush it?","La cache storage può contenere dati aggiuntivi. Sei sicuro che si desidera svuotarla?",module,Magento_Backend
"Flush Cache Storage","Svuota Cache Storage",module,Magento_Backend
Invalidated,Invalidata,module,Magento_Backend
Orders,Ordini,module,Magento_Backend
Amounts,Importi,module,Magento_Backend
Bestsellers,"Più venduti",module,Magento_Backend
"Most Viewed Products","Prodotti più visti",module,Magento_Backend
"New Customers","Nuovi Clienti",module,Magento_Backend
Customers,Clienti,module,Magento_Backend
Customer,Cliente,module,Magento_Backend
Guest,Ospite,module,Magento_Backend
Items,Elementi,module,Magento_Backend
Total,Totale,module,Magento_Backend
"Lifetime Sales","Vendite totali",module,Magento_Backend
"Average Order","Ordine medio",module,Magento_Backend
Average,Media,module,Magento_Backend
Product,Prodotto,module,Magento_Backend
Price,Prezzo,module,Magento_Backend
Quantity,Quantità,module,Magento_Backend
Views,Viste,module,Magento_Backend
Revenue,Entrate,module,Magento_Backend
Tax,Tassa,module,Magento_Backend
Shipping,Spedizione,module,Magento_Backend
"Images (.gif, .jpg, .png)","Immagini (. gif,. jpg,. png)",module,Magento_Backend
"Media (.avi, .flv, .swf)","Media (.avi, .FLV, .swf)",module,Magento_Backend
"All Files","Tutti i file",module,Magento_Backend
"Reset to Default","Ripristina predefiniti",module,Magento_Backend
"All Store Views","Tutte le Viste Negozio",module,Magento_Backend
"What is this?","Cos'è questo?",module,Magento_Backend
"Save Account","Salva Account",module,Magento_Backend
"My Account","Il mio Account",module,Magento_Backend
"Account Information","Informazioni sull'account",module,Magento_Backend
"User Name","Nome utente",module,Magento_Backend
"First Name",Nome,module,Magento_Backend
"Last Name",Cognome,module,Magento_Backend
"User Email","Email Utente",module,Magento_Backend
"New Password","Nuova Password",module,Magento_Backend
"Password Confirmation","Conferma password",module,Magento_Backend
"Interface Locale","Interfaccia Locale",module,Magento_Backend
"Current User Identity Verification","Verifica dell'identità utente corrente",module,Magento_Backend
"Your Password","La tua Password",module,Magento_Backend
"Save Cache Settings","Salva le impostazioni della Cache",module,Magento_Backend
"Catalog Rewrites","Rewrites catalogo",module,Magento_Backend
Refresh,Aggiorna,module,Magento_Backend
"Images Cache","Immagini Cache",module,Magento_Backend
Clear,Cancella,module,Magento_Backend
"Search Index","Indice di ricerca",module,Magento_Backend
Rebuild,Ricostruisci,module,Magento_Backend
"Inventory Stock Status","Status inventario",module,Magento_Backend
"Rebuild Catalog Index","Ricostruisci l'indice del catalogo",module,Magento_Backend
"Rebuild Flat Catalog Category","Ricostruisci la flat catalog category",module,Magento_Backend
"Rebuild Flat Catalog Product","Ricostruisci la flat catalog product",module,Magento_Backend
"Cache Control","Controllo della cache",module,Magento_Backend
"All Cache","Tutte le Cache",module,Magento_Backend
"No change","Nessun cambiamento",module,Magento_Backend
Disable,Disattiva,module,Magento_Backend
Enable,Attiva,module,Magento_Backend
"Add Design Change","Aggiungi modifica al Design",module,Magento_Backend
Back,Indietro,module,Magento_Backend
Delete,Elimina,module,Magento_Backend
"Are you sure?","Sei sicuro?",module,Magento_Backend
Save,Salva,module,Magento_Backend
"Edit Design Change","Modifica Cambio Design",module,Magento_Backend
"New Store Design Change","Nuovo Cambio Design Store",module,Magento_Backend
"General Settings","Impostazioni Generali",module,Magento_Backend
Store,Negozio,module,Magento_Backend
"-- Please Select --","-- Seleziona --",module,Magento_Backend
"Custom Design","Design Personalizzato",module,Magento_Backend
"Date From","Data da",module,Magento_Backend
"Date To","Data Al",module,Magento_Backend
"Design Change","Cambio Design",module,Magento_Backend
General,Generale,module,Magento_Backend
Cancel,Annulla,module,Magento_Backend
"Delete %1 '%2'","Elimina %1 '%2'",module,Magento_Backend
"Delete %1","Elimina %1",module,Magento_Backend
"Block Information","Informazioni Blocco",module,Magento_Backend
"Backup Options","Opzioni Backup",module,Magento_Backend
"Create DB Backup","Crea Backup DB",module,Magento_Backend
Yes,Sì,module,Magento_Backend
"Delete Store","Elimina Negozio",module,Magento_Backend
"Delete Web Site","Elimina Website",module,Magento_Backend
"Save Web Site","Salva Website",module,Magento_Backend
"Save Store","Salva Negozio",module,Magento_Backend
"Save Store View","Salva Vista Negozio",module,Magento_Backend
"Delete Store View","Elimina Vista Negozio",module,Magento_Backend
"Edit Web Site","Modifica Website",module,Magento_Backend
"New Web Site","Nuovo Website",module,Magento_Backend
"Edit Store","Modifica Negozio",module,Magento_Backend
"New Store","Nuovo Negozio",module,Magento_Backend
"Edit Store View","Modifica Vista Negozio",module,Magento_Backend
"New Store View","Nuova Vista Negozio",module,Magento_Backend
"Store Information","Informazioni Negozio",module,Magento_Backend
"Web Site",Website,module,Magento_Backend
Name,Nome,module,Magento_Backend
"Root Category","Categoria di Root",module,Magento_Backend
"Default Store View","Vista Negozio predefinita",module,Magento_Backend
"Store View Information","Informazioni Vista Negozio",module,Magento_Backend
Code,Codice,module,Magento_Backend
Disabled,Disabilitato,module,Magento_Backend
Enabled,Abilitato,module,Magento_Backend
"Sort Order",Ordinamento,module,Magento_Backend
"Web Site Information","Informazioni Website",module,Magento_Backend
"Default Store","Negozio Predefinito",module,Magento_Backend
"Set as Default","Imposta come predefinito",module,Magento_Backend
Stores,Negozi,module,Magento_Backend
"Create Website","Crea Website",module,Magento_Backend
"Create Store","Crea Negozio",module,Magento_Backend
"Create Store View","Crea Vista Negozio",module,Magento_Backend
"Are you sure you want to do this?","Sei sicuro di che voler fare questo?",module,Magento_Backend
"Add New Image","Aggiungi nuova immagine",module,Magento_Backend
"Export block for grid %1 is not defined","Esportazione blocco per griglia %1 non definita",module,Magento_Backend
"Reset Filter","Azzera filtro",module,Magento_Backend
Search,Cerca,module,Magento_Backend
Any,Qualsiasi,module,Magento_Backend
"All Countries","Tutti i Paesi",module,Magento_Backend
From,Dal,module,Magento_Backend
To,Al,module,Magento_Backend
"Date selector","Selettore data",module,Magento_Backend
"[ deleted ]","[ eliminato ]",module,Magento_Backend
"Select All","Seleziona tutto",module,Magento_Backend
"We couldn't find any records.","Non abbiamo trovato alcun record.",module,Magento_Backend
"Add New","Aggiungi Nuovo",module,Magento_Backend
"Invalid export type supplied for grid export block","Tipo di esportazione fornito non valido per blocco di esportazione griglia",module,Magento_Backend
Export,Esporta,module,Magento_Backend
